PLAY #,DN,playNum,ydLine,DOWN,DIST,DD,GN/LS,PLAY TYPE,OFF FORM,OFF PLAY,PREVIOUS PLAY,prevPlay,currentPlay,Down/Dist Scenarios,Game Changing Scenarios,Run/Pass Scenarios
101.0,1.0,101.0,41.0,1.0,15.0,1.015.0,1.0,Run,QUADS BONE,JET SWEEP,PA JET SWEEP,PA JET SWEEP,JET SWEEP,2nd Down Conversion,0,Run < 5 yds
102.0,2.0,102.0,40.0,2.0,14.0,2.014.0,0.0,Pass,3X2 WING,3ST,JET SWEEP,JET SWEEP,3ST,0,0,Run < 5 yds
104.0,3.0,104.0,40.0,3.0,14.0,3.014.0,4.0,Pass,QUEENS OPEN,5ST,3ST,3ST,5ST,0,0,Run < 5 yds
106.0,4.0,106.0,34.0,4.0,8.0,4.08.0,4.0,Pass,QUADS,5ST,5ST,5ST,5ST,0,0,Run < 5 yds
107.0,4.0,107.0,34.0,4.0,8.0,4.08.0,4.0,Pass,QUADS,5ST,5ST,5ST,5ST,0,0,Run < 5 yds
115.0,1.0,115.0,-47.0,1.0,10.0,1.010.0,1.0,Run,QUEENS OPEN BUNCH,OZ,5ST,5ST,OZ,4th and Long Conversion,0,Run for 1st Down
116.0,2.0,116.0,-48.0,2.0,9.0,2.09.0,4.0,Run,3X2 BONE,JET SWEEP,OZ,OZ,JET SWEEP,0,0,Run < 5 yds
118.0,1.0,118.0,37.0,1.0,10.0,1.010.0,7.0,Pass,QUEENS OPEN,BUBBLE,JET SWEEP,JET SWEEP,BUBBLE,2nd Down Conversion,0,Run for 1st Down
120.0,2.0,120.0,30.0,2.0,3.0,2.03.0,3.0,Run,3X2 BONE,JET SWEEP,BUBBLE,BUBBLE,JET SWEEP,0,0,Run < 5 yds
121.0,1.0,121.0,27.0,1.0,10.0,1.010.0,4.0,Run,QUEENS OPEN,IZ RD,JET SWEEP,JET SWEEP,IZ RD,2nd Down Conversion,0,Run for 1st Down
123.0,2.0,123.0,23.0,2.0,1.0,2.01.0,0.0,Run,QUEENS OPEN BUNCH,OZ RD,IZ RD,IZ RD,OZ RD,0,0,Run < 5 yds
124.0,1.0,124.0,23.0,1.0,10.0,1.010.0,10.0,Pass,TWINS OPEN SOFTER,3ST,OZ RD,OZ RD,3ST,2nd Down Conversion,0,Run for 1st Down
126.0,2.0,126.0,13.0,2.0,10.0,2.010.0,5.0,Run,3X2,QB DRAW,3ST,3ST,QB DRAW,0,0,0
128.0,3.0,128.0,8.0,3.0,5.0,3.05.0,4.0,Run,QUADS,IZ RD,QB DRAW,QB DRAW,IZ RD,0,0,Run < 5 yds
132.0,1.0,132.0,-45.0,1.0,10.0,1.010.0,4.0,Run,TWINS TITE HARDER,IZ3 RD,IZ RD,IZ RD,IZ3 RD,3rd Down Conversion,0,Run for 1st Down
134.0,2.0,134.0,49.0,2.0,4.0,2.04.0,2.0,Run,QUEENS TITE,IZ3 RD,IZ3 RD,IZ3 RD,IZ3 RD,0,0,Run < 5 yds
136.0,3.0,136.0,47.0,3.0,2.0,3.02.0,4.0,Run,TWINS TITE SOFTER,JET SWEEP,IZ3 RD,IZ3 RD,JET SWEEP,0,0,Run < 5 yds
150.0,1.0,150.0,-21.0,1.0,10.0,1.010.0,4.0,Pass,QUEENS OPEN,BUBBLE,JET SWEEP,JET SWEEP,BUBBLE,3rd Down Conversion,0,Run for 1st Down
