Down/Dist Scenarios,,0,0,0,0,0,0,0,0,2nd Down Conversion,2nd Down Conversion,3rd Down Conversion,4th and Long Conversion,4th and Short Conversion
TWINS OPEN SOFT,PA POWER,0,0,0,0,6,0,0,0,0,2,2,0,0
TWINS OPEN SOFT,POWER,0,0,2,0,0,0,0,0,0,0,0,0,0
TWINS OPEN SOFT,POWER 3,0,0,0,0,2,0,0,0,0,0,0,0,0
TWINS OPEN SOFTER,5 ST,0,0,1,0,1,0,0,0,0,0,0,0,0
TWINS OPEN SOFTER,JET RD,0,0,0,0,1,0,0,0,0,0,0,0,0
TWINS OPEN SOFTER,NAKED BOOT,0,0,1,0,0,0,0,0,0,0,0,0,0
TWINS OPEN SOFTER,POWER RD,1,0,0,0,0,0,0,0,0,0,0,0,0
TWINS OPEN SOFTER,VEGAS,0,0,0,0,1,0,0,0,0,0,0,0,0
TWINS TITE SOFTER,BUCK SWEEP,0,0,2,0,0,0,0,0,0,0,0,0,0
TWINS TITE SOFTER,BUCK SWEEP BOOT,0,2,0,0,0,0,0,0,0,0,0,0,0
TWINS TITE SOFTER,PA POWER,0,0,0,0,0,0,0,0,0,0,2,0,0
UNBALANCED SLOT,BUCK SWEEP BOOT,0,0,0,0,2,0,0,0,0,0,0,0,0
UNBALANCED SLOT,TRAP,0,0,0,0,2,0,0,0,0,0,0,0,0
